epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.67497,1.58954,1.59139,1.49563,0.61832,0.83157,0.80084,0.52244,1.17312,inf,1.18712,0.00034,0.00034,0.00034
2,8.9997,1.17815,0.78485,1.14307,0.76049,0.78265,0.83707,0.56636,1.10806,1.0386,1.12295,0.00069538,0.00069538,0.00069538
3,13.3029,1.15345,0.77433,1.13528,0.79578,0.74815,0.83716,0.56612,1.09564,1.00431,1.13306,0.00104601,0.00104601,0.00104601
4,17.4899,1.13192,0.73438,1.11049,0.77502,0.76646,0.82918,0.54854,1.12884,0.88316,1.13328,0.00139188,0.00139188,0.00139188
5,21.6236,1.15252,0.74791,1.12253,0.75674,0.78019,0.83544,0.5531,1.14462,0.89406,1.14687,0.00173301,0.00173301,0.00173301
6,25.7347,1.13733,0.74929,1.12639,0.77249,0.79831,0.85608,0.58985,1.10887,0.85226,1.12938,0.001934,0.001934,0.001934
7,29.8226,1.102,0.73253,1.1005,0.72871,0.70436,0.77304,0.52354,1.12027,0.8361,1.12764,0.0019208,0.0019208,0.0019208
8,33.9238,1.12267,0.73762,1.09393,0.82136,0.81133,0.85954,0.58084,1.07091,0.96264,1.10975,0.0019076,0.0019076,0.0019076
9,37.9821,1.07669,0.69364,1.0766,0.82793,0.81644,0.88793,0.62396,1.02375,0.76527,1.08147,0.0018944,0.0018944,0.0018944
10,42.1169,1.06807,0.66852,1.08085,0.81454,0.81943,0.88264,0.61897,1.02577,0.70831,1.0721,0.0018812,0.0018812,0.0018812
11,46.1723,1.0736,0.69346,1.08764,0.83805,0.82119,0.88183,0.59147,1.04885,0.7977,1.07318,0.001868,0.001868,0.001868
12,50.2515,1.09538,0.67449,1.07633,0.82416,0.81826,0.88619,0.62225,1.03848,0.69426,1.0745,0.0018548,0.0018548,0.0018548
