epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.3541,1.6639,2.93052,1.4436,0.20521,0.76927,0.39892,0.24169,1.32739,2.60536,1.10109,0.00034,0.00034,0.00034
2,6.14748,1.4572,1.44072,1.18007,0.79433,0.50843,0.65644,0.39191,1.4388,1.9125,1.16124,0.00069538,0.00069538,0.00069538
3,8.90545,1.35986,1.07744,1.1741,0.74734,0.62988,0.71239,0.43363,1.38652,1.5028,1.15871,0.00104601,0.00104601,0.00104601
4,11.6388,1.29707,0.98021,1.14011,0.80493,0.77343,0.83125,0.52082,1.25681,0.95046,1.1255,0.00139188,0.00139188,0.00139188
5,14.3537,1.26977,0.92774,1.13242,0.80566,0.77948,0.83188,0.53555,1.19924,0.90382,1.10854,0.00173301,0.00173301,0.00173301
6,16.9101,1.25728,0.90702,1.13027,0.80018,0.78722,0.83742,0.52979,1.2628,0.92089,1.14276,0.001934,0.001934,0.001934
7,19.4185,1.18617,0.87417,1.1013,0.80425,0.75185,0.83641,0.56829,1.11582,0.90042,1.0669,0.0019208,0.0019208,0.0019208
8,22.0347,1.18033,0.83729,1.09402,0.81489,0.78036,0.85187,0.58791,1.08505,0.81779,1.06841,0.0019076,0.0019076,0.0019076
9,24.7918,1.16333,0.80634,1.08525,0.83576,0.78986,0.86863,0.58659,1.12039,0.79836,1.0735,0.0018944,0.0018944,0.0018944
10,27.3853,1.1592,0.80016,1.08455,0.83512,0.79937,0.87448,0.60016,1.09182,0.79425,1.05102,0.0018812,0.0018812,0.0018812
11,29.9314,1.15035,0.80023,1.08889,0.82178,0.77093,0.85548,0.57499,1.1183,0.8097,1.06484,0.001868,0.001868,0.001868
12,32.5209,1.16552,0.78544,1.08122,0.82825,0.79864,0.87636,0.61228,1.04316,0.7887,1.04363,0.0018548,0.0018548,0.0018548
