epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.00061,1.59174,1.58862,1.49491,0.67543,0.82066,0.81481,0.54256,1.12425,inf,1.16178,0.00034,0.00034,0.00034
2,9.24483,1.17894,0.78764,1.14333,0.77646,0.76351,0.83205,0.56121,1.10367,1.06029,1.11881,0.00069538,0.00069538,0.00069538
3,13.5168,1.15658,0.77569,1.13722,0.76905,0.79645,0.84366,0.56179,1.13728,1.01015,1.12721,0.00104601,0.00104601,0.00104601
4,17.6665,1.13736,0.73927,1.10934,0.79238,0.77916,0.84865,0.57862,1.07394,0.84414,1.12351,0.00139188,0.00139188,0.00139188
5,21.7917,1.12579,0.74942,1.11148,0.73741,0.76902,0.81405,0.53464,1.16165,0.91201,1.16916,0.00173301,0.00173301,0.00173301
6,25.8681,1.12711,0.75631,1.12138,0.78969,0.73289,0.81368,0.54546,1.17418,0.93458,1.17059,0.001934,0.001934,0.001934
7,29.8508,1.09117,0.74248,1.09605,0.56846,0.51355,0.55214,0.38311,1.18287,1.18921,1.1959,0.0019208,0.0019208,0.0019208
8,33.9146,1.09174,0.72005,1.0824,0.80079,0.82119,0.85284,0.57926,1.04817,1.07566,1.10799,0.0019076,0.0019076,0.0019076
9,38.006,1.05447,0.6793,1.07091,0.84234,0.81805,0.89361,0.63562,0.99227,0.76532,1.06451,0.0018944,0.0018944,0.0018944
10,42.0913,1.0585,0.66237,1.07787,0.81849,0.82031,0.88452,0.62065,1.05624,0.67969,1.09911,0.0018812,0.0018812,0.0018812
11,46.0887,1.05127,0.67726,1.07941,0.82377,0.82559,0.89082,0.61029,1.05743,0.79219,1.07099,0.001868,0.001868,0.001868
12,50.1137,1.05646,0.65714,1.06018,0.81402,0.80341,0.88043,0.62659,1.03599,0.68944,1.07485,0.0018548,0.0018548,0.0018548
13,54.1262,1.07719,0.65176,1.07757,0.80985,0.81176,0.8716,0.5899,1.13856,0.74985,1.11474,0.0018416,0.0018416,0.0018416
14,58.1518,1.05801,0.65527,1.06987,0.83412,0.80394,0.88685,0.6259,1.04741,0.66829,1.07851,0.0018284,0.0018284,0.0018284
15,62.1747,1.0468,0.6548,1.06241,0.83188,0.78617,0.8739,0.62426,1.00581,0.7001,1.06704,0.0018152,0.0018152,0.0018152
16,66.2129,1.03792,0.64272,1.05426,0.82178,0.827,0.89494,0.65267,0.95639,0.63736,1.04177,0.001802,0.001802,0.001802
17,70.3045,1.03336,0.64043,1.05371,0.82534,0.84724,0.90289,0.66038,0.95795,0.64846,1.04596,0.0017888,0.0017888,0.0017888
18,74.3255,1.01034,0.63952,1.05243,0.83693,0.82736,0.89959,0.65647,0.96922,0.66365,1.04925,0.0017756,0.0017756,0.0017756
19,78.3719,1.03624,0.64569,1.06,0.8134,0.81475,0.88293,0.62912,1.02738,0.68736,1.07298,0.0017624,0.0017624,0.0017624
20,82.3672,0.98896,0.63182,1.04643,0.83107,0.82101,0.89543,0.65438,0.97657,0.62696,1.05346,0.0017492,0.0017492,0.0017492
21,86.3622,1.03732,0.64158,1.05096,0.82181,0.8226,0.87984,0.60238,1.10646,0.77728,1.1122,0.001736,0.001736,0.001736
22,90.3924,1.03207,0.63167,1.05766,0.84814,0.8182,0.89477,0.6455,1.00089,0.68755,1.06137,0.0017228,0.0017228,0.0017228
23,94.413,0.99769,0.61814,1.04143,0.83605,0.82154,0.89368,0.65619,0.94686,0.62794,1.03967,0.0017096,0.0017096,0.0017096
24,98.4459,0.98288,0.61334,1.0338,0.80044,0.81462,0.87372,0.64798,0.94501,0.66483,1.04345,0.0016964,0.0016964,0.0016964
25,102.49,0.98782,0.61928,1.03849,0.83392,0.82537,0.90124,0.66427,0.93652,0.62892,1.03535,0.0016832,0.0016832,0.0016832
26,106.555,0.96267,0.61005,1.04228,0.82568,0.82947,0.8983,0.65803,0.96707,0.62335,1.05713,0.00167,0.00167,0.00167
