epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.64501,1.66897,2.92993,1.44828,0.20103,0.75361,0.38705,0.24581,1.28937,inf,1.10146,0.00034,0.00034,0.00034
2,6.38908,1.45689,1.44005,1.17865,0.81598,0.59466,0.73661,0.45635,1.38161,1.74667,1.14656,0.000696535,0.000696535,0.000696535
3,9.09688,1.35456,1.07752,1.17013,0.7548,0.68603,0.7481,0.44118,1.39508,1.30775,1.17807,0.00104951,0.00104951,0.00104951
4,11.7757,1.29004,0.98059,1.13577,0.79896,0.76729,0.82116,0.51581,1.23996,0.95935,1.13636,0.00139891,0.00139891,0.00139891
5,14.4272,1.26776,0.92621,1.13081,0.79308,0.77191,0.8237,0.52643,1.20823,0.94711,1.13047,0.00174476,0.00174476,0.00174476
6,16.9301,1.27899,0.91794,1.14075,0.80603,0.78951,0.84459,0.54812,1.20337,0.89427,1.11871,0.0019505,0.0019505,0.0019505
7,19.3991,1.18499,0.8697,1.10114,0.77044,0.73319,0.80753,0.54485,1.09464,0.95423,1.05319,0.0019406,0.0019406,0.0019406
8,21.9331,1.17689,0.83287,1.09413,0.82011,0.77262,0.84863,0.56428,1.16642,0.82858,1.09551,0.0019307,0.0019307,0.0019307
9,24.6087,1.15465,0.80837,1.08552,0.82127,0.79057,0.86475,0.58874,1.10825,0.78948,1.06832,0.0019208,0.0019208,0.0019208
10,27.1284,1.13819,0.79201,1.07862,0.81526,0.80324,0.87013,0.60887,1.04342,0.79511,1.04137,0.0019109,0.0019109,0.0019109
11,29.637,1.15494,0.80391,1.09013,0.82667,0.79127,0.86975,0.58486,1.09589,0.82515,1.05448,0.001901,0.001901,0.001901
12,32.1621,1.17448,0.78876,1.08836,0.82527,0.79761,0.87392,0.60447,1.04809,0.7887,1.04382,0.0018911,0.0018911,0.0018911
13,34.6753,1.13126,0.76172,1.07886,0.84115,0.79026,0.87721,0.61775,1.03726,0.78165,1.05145,0.0018812,0.0018812,0.0018812
14,37.3605,1.10393,0.74661,1.06952,0.82575,0.80065,0.87547,0.61155,1.06149,0.76404,1.04959,0.0018713,0.0018713,0.0018713
15,40.0396,1.10963,0.7523,1.06464,0.81653,0.78529,0.86268,0.58329,1.16465,0.79498,1.08781,0.0018614,0.0018614,0.0018614
16,42.7222,1.10955,0.73469,1.06458,0.81973,0.81521,0.87994,0.61738,1.07129,0.7571,1.04874,0.0018515,0.0018515,0.0018515
17,45.3706,1.09067,0.72739,1.05978,0.8459,0.79285,0.88253,0.62323,1.02944,0.73624,1.03316,0.0018416,0.0018416,0.0018416
18,47.8379,1.08142,0.72914,1.06204,0.82149,0.81045,0.88232,0.61963,1.07382,0.7336,1.05614,0.0018317,0.0018317,0.0018317
19,50.441,1.13146,0.75024,1.07368,0.82035,0.78141,0.87157,0.62366,1.02009,0.72712,1.05508,0.0018218,0.0018218,0.0018218
20,52.9222,1.1064,0.73271,1.07266,0.82752,0.80978,0.88516,0.63665,0.9927,0.70695,1.02852,0.0018119,0.0018119,0.0018119
21,55.5661,1.11634,0.73113,1.06476,0.83718,0.81354,0.88869,0.6321,1.01223,0.7084,1.03301,0.001802,0.001802,0.001802
22,58.2152,1.05981,0.70154,1.05101,0.82884,0.81538,0.88909,0.64641,0.96866,0.68334,1.03003,0.0017921,0.0017921,0.0017921
23,60.717,1.04914,0.6929,1.04243,0.8374,0.80817,0.88882,0.63975,0.98845,0.68079,1.02968,0.0017822,0.0017822,0.0017822
24,63.2343,1.0483,0.69257,1.04254,0.8415,0.805,0.88304,0.62161,1.02419,0.73502,1.04486,0.0017723,0.0017723,0.0017723
25,65.6938,1.06835,0.69894,1.04882,0.82999,0.81022,0.88389,0.63555,0.98198,0.68989,1.02662,0.0017624,0.0017624,0.0017624
26,68.3464,1.044,0.68977,1.05019,0.83984,0.79921,0.88442,0.64187,0.97495,0.68089,1.02851,0.0017525,0.0017525,0.0017525
27,71.0071,1.02878,0.68002,1.03893,0.84515,0.80042,0.88273,0.62066,1.03983,0.70924,1.05925,0.0017426,0.0017426,0.0017426
28,73.4623,1.08118,0.72195,1.06482,0.84079,0.79096,0.87958,0.61255,1.08733,0.71773,1.05595,0.0017327,0.0017327,0.0017327
29,76.0208,1.07711,0.69385,1.05227,0.81592,0.80077,0.86905,0.60089,1.06693,0.7601,1.06664,0.0017228,0.0017228,0.0017228
30,78.5313,1.04309,0.67477,1.04057,0.83696,0.80975,0.88668,0.63398,0.99997,0.69228,1.03377,0.0017129,0.0017129,0.0017129
31,81.0304,1.02412,0.67566,1.03942,0.83159,0.81098,0.8881,0.64676,0.96309,0.6793,1.0267,0.001703,0.001703,0.001703
32,83.7072,1.0354,0.67047,1.04835,0.82046,0.77208,0.86676,0.61551,1.00963,0.70432,1.03955,0.0016931,0.0016931,0.0016931
33,86.3932,1.02309,0.6751,1.03312,0.83232,0.80817,0.87397,0.62598,0.96193,0.72508,1.03323,0.0016832,0.0016832,0.0016832
34,88.8782,1.03549,0.69266,1.05336,0.82725,0.80908,0.87743,0.62413,0.98573,0.73772,1.0317,0.0016733,0.0016733,0.0016733
35,91.3888,1.0557,0.67537,1.04215,0.83538,0.81116,0.87617,0.61689,0.9838,0.73641,1.04358,0.0016634,0.0016634,0.0016634
36,94.0676,1.05613,0.67821,1.04367,0.81493,0.80887,0.88084,0.62948,0.9921,0.69246,1.03914,0.0016535,0.0016535,0.0016535
37,96.7307,1.04629,0.67551,1.03987,0.83382,0.8071,0.8834,0.63175,0.99007,0.67333,1.0369,0.0016436,0.0016436,0.0016436
38,99.3694,1.00383,0.66023,1.03423,0.8351,0.80036,0.88409,0.62605,1.02704,0.69216,1.04288,0.0016337,0.0016337,0.0016337
39,102.014,1.03899,0.66257,1.03264,0.84728,0.7938,0.87939,0.62411,0.98914,0.66211,1.04177,0.0016238,0.0016238,0.0016238
40,2423.11,1.03383,0.6681,1.03922,0.84273,0.80165,0.88834,0.65033,0.95124,0.65978,1.02413,0.0016139,0.0016139,0.0016139
41,2425.82,1.00858,0.65731,1.03056,0.82293,0.82609,0.89264,0.65038,0.95869,0.6537,1.02892,0.001604,0.001604,0.001604
42,2428.55,1.00458,0.65579,1.02614,0.83407,0.80993,0.88797,0.64054,0.97484,0.69114,1.03624,0.0015941,0.0015941,0.0015941
43,2431.21,1.01163,0.66168,1.0389,0.82385,0.81323,0.89052,0.64662,0.95485,0.65793,1.02455,0.0015842,0.0015842,0.0015842
44,2433.87,0.99016,0.6621,1.02559,0.83134,0.82498,0.88937,0.63273,0.97266,0.7275,1.03405,0.0015743,0.0015743,0.0015743
45,2436.49,1.01209,0.64254,1.02673,0.82069,0.81591,0.88635,0.64231,0.96659,0.66843,1.03358,0.0015644,0.0015644,0.0015644
46,2439.16,0.99023,0.63713,1.01967,0.8251,0.81617,0.88851,0.64925,0.9408,0.65329,1.02381,0.0015545,0.0015545,0.0015545
47,2441.82,1.00687,0.62882,1.02116,0.82451,0.81858,0.8906,0.64731,0.96562,0.65889,1.02482,0.0015446,0.0015446,0.0015446
48,2444.51,0.99723,0.64386,1.02895,0.81918,0.82204,0.88857,0.64992,0.96608,0.6528,1.0314,0.0015347,0.0015347,0.0015347
49,2447.18,1.02073,0.6384,1.03286,0.83638,0.82225,0.89551,0.65128,0.96283,0.65117,1.02049,0.0015248,0.0015248,0.0015248
50,2449.7,1.00713,0.64011,1.02617,0.83797,0.80641,0.8915,0.65008,0.94599,0.63327,1.01878,0.0015149,0.0015149,0.0015149
51,2452.37,1.02891,0.63896,1.02677,0.84401,0.81292,0.89501,0.64719,0.97487,0.64422,1.02968,0.001505,0.001505,0.001505
52,2455.04,0.98334,0.62231,1.0132,0.82812,0.82506,0.89495,0.65038,0.94742,0.63204,1.02892,0.0014951,0.0014951,0.0014951
53,2457.74,0.97573,0.61461,1.01084,0.8327,0.82341,0.89523,0.66048,0.92833,0.62448,1.01859,0.0014852,0.0014852,0.0014852
54,2460.42,0.98529,0.63601,1.02263,0.82966,0.82999,0.89443,0.64846,0.94637,0.67047,1.02524,0.0014753,0.0014753,0.0014753
55,2463.05,0.97245,0.60766,1.00674,0.82869,0.83193,0.88991,0.64948,0.95631,0.66824,1.03196,0.0014654,0.0014654,0.0014654
56,2465.54,0.99649,0.62644,1.01967,0.82098,0.81626,0.88673,0.64909,0.95082,0.63545,1.02714,0.0014555,0.0014555,0.0014555
57,2468.17,0.96767,0.61911,1.01312,0.84294,0.82471,0.88996,0.63541,0.96544,0.66683,1.02858,0.0014456,0.0014456,0.0014456
